"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31"
"73","#московскоедело","#свободуполитзаключенным",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","#свободуегоружукову","#ямыегоржуков","#дело212","#московскоедело","#нетрепрессиям","#свободуполитзаключенным","#судныйдень",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","#московскоедело","#свободуполитзаключенным",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","#новости","#6декабря","#россия","#москва","#никитачирцов","#суд","#московскоедело","#реклама","#рекламавинстаграм","#лайктайм","#лайкивзаимно","#лайк","#russia","#moscow","#liketime","#likeforlikes","#news","#6december",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","#деложукова","#егоржуков","#московскоедело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","#московскоедело","#егоржуков",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","#московскоедело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","#россиябудетсвободной","#егоржуков","#московскоедело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","#norimyxxxo","#oxxxyfan","#oxxxy","#music","#miron","#oxxxymironlive","#oxxxymiron","#rap","#versus","#егоржуков","#на","#свободе","#оксимирон","#оксимиронлучший","#окситабор","#рэп","#версус","#спасибо","#московскоедело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","#московскоедело","#aksai3","#khankuchum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","#мк","#московскийкомсомолец","#политика","#егоржуков","#суд","#московскоедело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","#mash_breaking","#breaking_mash","#Москва","#МосковскоеДело","#ЕгорЖуков","#ПавелНовиков","#НикитаЧирцов","#ВладимирЕмельянов","#приговор","#суд","#новости",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","#московскоедело","#егоржуков","#никитачирцов","#павелновиков","#владимиремельянов",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","#московскоедело","#россиябудетсвободной","#молодежь","#россиябудущего",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","#голуновневиновен","#егоржуков","#россиябудетсвободной","#егоржуков","#свободуегоружукову","#егоржуковбудетсвободен","#московскоедело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","#московскоедело","#свободуфигурантаммосковскогодела","#московскоеделодолжнобытьпрекращено","#дело212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","#московскоедело","#свободувсем",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","#московскоедело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
